Provincia,Cantón,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20
El Oro,Arenillas,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,6,6,6,6,9,11,11,11,11,12,12
El Oro,Huaquillas,,,,,,,,,,,2,2,2,2,3,2,2,3,3,3,3,4,4,4,4,4,4,5,5,10,10,10,10,10,10,10,14,18,18,19,19,23,23
El Oro,Machala,,,,,,1,1,1,1,1,1,2,5,5,7,7,8,8,9,10,19,21,21,21,21,23,23,37,44,58,67,67,71,74,81,91,94,113,121,127,133,138,147
El Oro,Pasaje,,,,,,,,,,,,,,,,,1,1,2,2,3,3,3,3,3,3,3,3,4,10,10,10,10,12,13,13,13,16,17,18,18,20,21
El Oro,Santa Rosa,,,,,,,,,1,1,3,4,5,8,8,8,8,8,9,10,18,19,19,19,19,19,19,27,30,33,37,37,42,42,44,44,46,48,49,50,54,54,54
El Oro,Atahualpa,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
El Oro,Zaruma,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
El Oro,Portovelo,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,8,8,10,10,10,10,10,10,10
El Oro,El Guabo,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,4,9,8,8,9,10,11,11,11,15,15,15,15,16,17
El Oro,Las Lajas,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El Oro,Piñas,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,5,11,11,11,11,11,11
El Oro,Balsas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Oro,Chilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Oro,Marcabelí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmeraldas,Esmeraldas,,,,,,,,,,2,2,3,3,4,4,4,4,7,7,7,7,8,11,11,13,14,17,19,21,24,24,27,27,29,30,37,66,67,69,78,78,78,81
Esmeraldas,Quinindé,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,3,3,5,5,6,7,9,10,10,11,13,13,13,16
Esmeraldas,Rioverde,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Esmeraldas,Atacames,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4
Esmeraldas,Muisne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,3,3,3,3,3,3
Esmeraldas,San Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5
Esmeraldas,Eloy Alfaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,4
Guayas,Alfredo Baquerizo Moreno,,,,,,,,,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Guayas,Balao,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,3,3,3,3,3,3,4,4,6,6,6,6,9,9
Guayas,Balzar,,,,,,,,,,,1,1,1,1,2,4,4,4,4,5,5,10,10,10,10,10,10,10,11,14,14,14,14,14,14,16,16,21,24,35,35,36,36
Guayas,Colimes,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,6,6,6,6,6,6,8,8,8,9,13,13,13,13
Guayas,Daule,,,,,,4,7,21,31,34,44,59,64,67,77,91,96,102,105,117,135,160,162,162,172,172,178,193,199,243,246,249,249,249,261,266,268,289,309,343,349,367,377
Guayas,Durán,,,,,,4,9,8,16,18,28,37,40,42,50,54,66,67,68,78,89,96,99,99,104,104,108,126,134,196,197,197,198,199,211,218,218,242,250,275,284,305,313
Guayas,El Empalme,,,,,,1,2,3,3,3,4,5,5,5,5,5,5,5,5,5,6,11,11,12,13,15,15,15,15,25,25,25,25,26,29,29,29,29,30,35,35,40,45
Guayas,Guayaquil,,,,,,61,88,114,205,251,408,526,564,611,696,837,942,963,978,1116,1304,1520,1638,1648,1725,1732,1846,2135,2388,3983,3984,4049,4060,4077,4184,4353,4354,4611,4822,5168,5308,5502,5565
Guayas,Milagro,,,,,,1,1,5,6,12,21,33,35,36,45,45,48,50,50,63,140,146,152,154,158,159,159,165,202,236,240,258,258,260,260,263,265,297,311,326,335,338,348
Guayas,Naranjal,,,,,,,,,1,1,1,1,1,1,1,2,5,6,6,6,6,8,12,12,13,13,13,12,17,19,20,22,22,22,23,25,25,29,42,44,46,56,56
Guayas,Pedro Carbo,,,,,,,,,2,2,2,3,3,3,6,6,6,6,6,13,16,26,26,26,26,26,26,26,26,26,26,26,26,26,31,31,31,31,31,34,37,42,43
Guayas,Urbina Jado,,,,,,,,,,1,3,3,3,3,8,10,11,11,11,22,26,26,32,32,32,32,32,34,39,47,47,50,50,50,50,54,55,59,60,63,68,68,70
Guayas,Samborondón,,,,,,10,21,36,52,73,89,91,99,104,117,120,129,130,130,150,165,173,176,177,189,189,236,247,260,370,369,369,369,368,360,360,375,389,396,406,415,422,424
Guayas,Santa Lucia,,,,,,,,,1,1,3,4,4,4,6,8,8,8,8,9,10,12,12,12,12,12,13,13,14,20,20,20,20,20,19,19,19,19,19,24,24,26,27
Guayas,Playas,,,,,,,,,,,1,1,1,1,1,8,8,8,8,8,8,11,13,13,18,18,18,18,21,29,29,29,29,29,31,35,35,40,41,44,44,44,46
Guayas,Simon Bolivar,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Guayas,San Jacinto de Yaguac,,,,,,,,,,,1,3,4,4,4,8,9,9,10,10,16,20,20,20,21,21,21,21,21,25,25,25,25,25,26,28,28,29,41,45,47,47,49
Guayas,Palestina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4
Guayas,El Triunfo,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,5,5,8,8,8,8,9,11,11,11,12,12,12,12,12,12,13,14,14,22,22
Guayas,Lomas de Sargentillo,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,5,5,9,12
Guayas,Naranjito,,,,,,,,,,,,,,,,,1,1,1,2,2,5,5,5,5,5,5,5,6,6,6,6,6,6,6,8,8,11,11,13,15,16,17
Guayas,Coronel Marcelino Maridueña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guayas,Nobol,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5
Guayas,General Antonio Elizalde,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,5,5,5,7,8,8,8,8,8,8
Guayas,Isidro Ayora,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5
Los Rios,Baba,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,3,3,3,5,5,5,5,5,6,6,6,6,7,7,6,6,6
Los Rios,Babahoyo,,,,,,9,9,15,16,17,17,20,22,24,27,30,32,32,32,44,48,55,59,69,70,70,70,82,94,97,98,106,106,106,111,120,122,135,148,172,174,174,178
Los Rios,Buena Fé,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,13,13,16,19
Los Rios,Mocache,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3
Los Rios,Montalvo,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,8,8,10
Los Rios,Palenque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5
Los Rios,Pueblo Viejo,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,3,3,4,5
Los Rios,Quevedo,,,,,,,,,,1,3,3,4,5,13,16,16,16,16,22,29,42,44,44,47,47,48,50,51,64,64,64,64,64,68,71,71,74,75,86,86,87,87
Los Rios,Urdaneta,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,7,7,8,8,10,10,12,13
Los Rios,Ventanas,,,,,,,,,1,1,2,2,5,5,5,5,5,5,5,6,10,15,15,15,15,15,15,16,16,21,21,24,24,24,24,24,24,26,28,28,28,28,29
Los Rios,Vinces,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,4,4,6,6,6,6,6,7,14,14,15,15,15,17,19,19,23,31,35,37,37,37
Los Rios,Quinsaloma,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Los Rios,Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,5,5,7,7,8,8,8,8
Manabi,Veinticuatro de Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6
Manabi,Bolívar,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,3,3,3,3,3,4,4,4,6,6,6,6
Manabi,Jipijapa,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,11,11,12,14,14,14,14,14,14,14,14,16,16,16,16,19,24
Manabi,Manta,,,,,,1,7,7,6,6,18,20,21,21,21,22,22,25,25,27,28,28,29,31,35,38,40,42,46,54,59,60,60,60,62,63,68,72,72,74,74,75,78
Manabi,Montecristi,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,6,9,9,10,10,10,11,12
Manabi,Portoviejo,,,,,,,,,1,1,4,4,6,12,12,12,16,18,18,19,19,24,25,25,27,31,40,50,55,60,67,69,69,72,72,87,90,91,99,100,100,109,112
Manabi,Rocafuerte,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,6,6
Manabi,Santa Ana,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,7,7,7,7,7,7,7,8,9,9,10,10,10,10
Manabi,Sucre,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5
Manabi,Paján,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,6,6,6,6,6,6,6,6,6,6,6,7
Manabi,Jaramillo,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,6,6,6,6
Manabi,Junín,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Manabi,El Carmen,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,6,6,7,8,8,9,10,11,14,15,17,20,21,22,22,22,22
Manabi,Pichincha,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Manabi,Chone,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,6,9,14,16,18,21,21,21,22,22,23,23,24,25,25,26,27
Manabi,Flavio Alfaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manabi,Tosagua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Manabi,San Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
Manabi,Pedernales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manabi,Puerto López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Elena,Santa Elena,,,,,,,,,1,1,2,2,3,3,4,5,5,5,5,5,12,19,19,19,19,19,10,10,25,33,32,32,32,32,43,44,44,61,66,72,73,78,80
Santa Elena,La Libertad,,,,,,,,,,,,2,3,3,3,5,5,5,5,8,12,18,19,19,23,23,23,23,26,28,28,30,30,30,32,33,33,50,53,60,60,66,67
Santa Elena,Salinas,,,,,,3,,,,,,,,,,,,,,4,6,7,10,10,10,10,19,22,12,13,14,15,16,16,17,18,18,24,26,31,32,33,35
Santo Domingo de los Ts√°chilas,La Concordia,,,,,,,,,,,,,,,,,2,2,2,3,3,3,4,3,3,3,6,6,7,10,12,12,12,12,12,12,13,13,13,15,15,17,17
Santo Domingo de los Ts√°chilas,Santo Domingo de los Colorados,,,,,,,,1,1,4,4,7,7,7,8,9,13,13,13,15,16,21,22,28,31,33,37,38,39,41,43,48,53,54,55,56,63,66,68,79,79,80,106
Santo Domingo de los Ts√°chilas,San Miguel de los Bancos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azuay,Camilo Ponce Enríquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Azuay,Cuenca,,,,,,5,5,14,18,18,18,22,26,29,32,37,37,46,47,68,83,88,88,88,88,89,89,95,100,131,134,158,162,170,177,181,184,188,193,201,214,238,250
Azuay,Gualaceo,,,,,,,,,,,,,,,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,7,7,7,7,7
Azuay,Santa Isabel,,,,,,,,,,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,6,6,7,7,7,7
Azuay,Nabón,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
Azuay,Paute,,,,,,,,,,,,,,,,,,2,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,8,8
Azuay,Sigsig,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,6,6,6,6,6,6
Azuay,Sevilla de Oro,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Azuay,Guachapala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Azuay,Girón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Azuay,Chordeleg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azuay,El Pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azuay,Oña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azuay,Pucará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azuay,San Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivar,Chillanes,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
Bolivar,Chimbo,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
Bolivar,Guaranda,,,,,,,2,2,4,4,6,7,7,8,8,9,9,9,9,10,11,12,12,12,13,13,13,13,15,16,16,16,16,16,16,19,19,22,24,25,25,28,29
Bolivar,San Miguel,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,6,7,7
