Provincia,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20
Azuay,,,,,,,,,,,,,,,,1,1,5,5,14,18,19,19,23,28,31,37,42,42,53,57,78,94,99,99,99,99,100,100,107,116,151,154,178,182,192,200,205,207,217,223,232,247,273,285,449
Bolivar,,,,,,,,,,,,,,,,,,,2,2,4,5,8,9,9,11,11,12,14,14,14,15,20,26,26,26,27,27,27,27,30,32,33,33,33,33,33,39,39,45,49,54,55,59,66,105
Cañar,,,,,,,,,,,,,,,,,,,,3,3,3,4,5,7,12,15,16,19,26,28,39,49,53,56,56,59,59,59,64,75,90,94,97,100,104,105,117,118,125,137,145,149,162,166,269
Carchi,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,5,6,6,6,6,7,9,9,12,12,14,14,15,17,23,24,25,26,26,26,26,28,33,35,35,35,38,59
Chimborazo,,,,,,,,,,,,,,,,,,,,2,3,4,9,9,11,11,11,11,15,15,15,17,18,24,25,31,32,46,50,51,54,65,65,74,85,86,90,99,105,108,112,116,121,124,130,219
Cotopaxi,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,4,5,5,5,8,10,12,13,16,17,23,28,28,30,33,36,42,42,43,45,46,50,51,54,57,57,59,68,109
El Oro,,,,,,,,,,,,,,,,,,1,1,1,2,2,6,9,14,17,20,21,23,25,30,34,52,56,56,56,56,58,58,82,97,137,149,150,160,166,183,193,207,247,257,266,276,289,300,477
Esmeraldas,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,4,4,4,4,7,7,10,10,11,14,14,16,17,20,25,27,31,31,38,38,41,44,53,85,86,89,102,102,104,115,195
Galápagos,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,5,7,10,10,11,11,11,11,11,11,11,11,11,11,12,11,11,42,53,54,54,54,54,54,86
Guayas,,,,,,4,5,5,5,5,6,6,6,7,11,19,37,81,128,187,318,397,607,769,826,885,1021,1202,1345,1377,1397,1615,1941,2243,2288,2402,2524,2534,2706,3047,3384,5281,5290,5381,5395,5417,5551,5754,5777,6150,6446,6921,7108,7391,7502,15365
Imbabura,,,,,,,,,,,,,,,,,,,,1,2,3,4,4,4,8,8,9,9,9,9,10,15,16,18,20,20,21,21,21,24,32,32,33,33,33,34,35,43,43,47,49,51,51,58,97
Loja,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,7,8,9,12,13,15,21,22,27,27,27,27,27,27,27,34,49,56,59,65,69,72,85,86,98,105,116,128,132,132,136,213
Los Rios,,,,,,9,9,9,9,9,10,10,10,11,11,10,10,10,10,16,19,22,25,28,37,40,52,58,60,60,60,80,100,131,138,153,158,158,159,175,193,226,227,239,239,240,255,274,276,304,329,378,382,390,402,668
Manabi,,,,,,,,,,,,,,,,,1,1,8,8,9,9,25,27,32,38,38,40,44,50,50,54,56,61,67,71,77,88,115,132,159,188,204,214,215,219,227,244,262,274,286,296,296,316,330,1869
Morona Santiago,,,,,,,,,,,,,,,,,,1,1,3,3,3,3,6,6,7,8,8,8,9,10,10,10,10,10,10,10,11,12,17,18,19,19,19,20,21,21,21,23,26,28,30,30,31,31,48
Napo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,3,4,6,6,8,8,8,8,8,8,9,9,10,12,20
Orellana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,3,4,4,4,5,5,5,6,6,6,6,7,9,9,9,10,12,12,14,31
Pastaza,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,5,5,5,5,7,9,9,11,12,12,12,12,13,13,13,13,14,16,17,18,18,20,20,20,20,25,39
Pichincha,,,,,,,,,,,,,2,4,5,6,8,8,12,16,35,50,60,65,72,108,121,137,171,188,191,219,248,259,285,321,345,395,418,440,494,579,606,627,634,646,674,736,779,794,819,841,868,926,991,1634
Santa Elena,,,,,,,,,,,,,,,,,,3,,,1,1,2,4,6,6,7,10,10,10,10,17,30,44,48,48,52,52,52,55,63,74,74,77,78,78,92,95,95,135,145,163,165,177,182,321
Santo Domingo de los Tsáchilas,,,,,,,,,,,,,,,,,,,,1,1,4,4,7,7,7,8,9,15,15,15,18,19,24,26,31,34,36,43,44,46,51,55,60,65,66,67,68,76,79,81,94,94,97,123,197
Sucumbios,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,6,6,6,18,18,18,25,25,27,27,27,27,27,30,30,33,33,33,34,33,33,33,33,33,33,34,34,34,34,34,35,35,55
Tungurahua,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,4,4,4,4,9,10,12,13,22,22,22,22,23,25,29,36,42,43,43,47,53,65,66,72,74,81,82,96,152
Zamora Chinchipe,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,8,17,20,20,20,21,24,42
