Provincia,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20
Azuay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,5,5,5,5,6,6,6,6,6,7,7,7,7,11,11,11,11,11,11,11,11
Bolivar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,6,6,6,7,7
Cañar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,6,6,6,8,8,8,8,8,9,9,9
Carchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,3,3,3,3,3,3,3,3,3
Chimborazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,11,13,14,14,15,15,17,18,18,18,18,23,24,24,25,26,27
Cotopaxi,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,6,7,8,8,9,9,9,10,11,11,11,11,13
El Oro,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,4,9,10,10,11,13,14,14,15,19,21,23,27,34,39,39,39,41,46,51,56,56,57,59
Esmeraldas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12
Galápagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guayas,,,,,,,,,,,,,,,,,,,,,,,,,,,21,25,30,37,40,52,63,82,102,122,126,130,138,144,154,159,165,168,172,173,185,187,193,207,208,232,238,242,245
Imbabura,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,5,5,5,5,5,5,8,8,8
Loja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,4,4,4,5,5,5,6,6,7
Los Rios,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,5,6,6,6,9,10,10,10,11,11,11,13,14,13,13,13,13,16,16,18,18,19,19,19,19
Manabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,3,8,14,17,20,22,29,32,32,33,34,35,41,42,43,43,44,50
Morona Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2
Orellana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
Pichincha,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,5,5,5,5,5,6,6,10,10,15,17,25,26,26,26,31,33,34,38,39,43,44,44,52,54
Santa Elena,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Santo Domingo de los Tsáchilas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,4,6,6,6,8,9,9,10,11,11,11,13,13,13,14,15
Sucumbios,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tungurahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,3,3,3,4,4,5,5,6,6,6,7,7,7,8,9,9,9,9
Zamora Chinchipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,7,7,14,18,27,29,34,41,48,58,62,79,98,120,144,172,180,191,220,242,272,297,315,333,355,369,388,403,421,456,474,507,520,537,560
