Provincia,Cantón,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020
Azuay,Chordeleg,,,,,,,,,,,,,
Azuay,Cuenca,,,,,,5,5,14,18,18,18,22,26
Azuay,El Pan,,,,,,,,,,,,,
Azuay,Girón,,,,,,,,,,,,,
Azuay,Gualaceo,,,,,,,,,,,,,
Azuay,Nabón,,,,,,,,,,,,,
Azuay,Oña,,,,,,,,,,,,,
Azuay,Paute,,,,,,,,,,,,,
Azuay,Pucará,,,,,,,,,,,,,
Azuay,San Fernando,,,,,,,,,,,,,
Azuay,Santa Isabel,,,,,,,,,,1,1,1,2
Azuay,Sevilla de Oro,,,,,,,,,,,,,
Azuay,Sigsig,,,,,,,,,,,,,
Bolivar,Caluma,,,,,,,,,,,,,
Bolivar,Chillanes,,,,,,,,,,1,1,1,1
Bolivar,Chimbo,,,,,,,,,,,1,1,1
Bolivar,Echeandía,,,,,,,,,,,,,
Bolivar,Guaranda,,,,,,,2,2,4,4,6,7,7
Bolivar,Las Naves,,,,,,,,,,,,,
Bolivar,San Miguel,,,,,,,,,,,,,
Cañar,Azogues,,,,,,,,3,3,3,4,4,4
Cañar,Biblián,,,,,,,,,,,,,
Cañar,Cañar,,,,,,,,,,,,1,1
Cañar,Déleg,,,,,,,,,,,,,
Cañar,El Tambo,,,,,,,,,,,,,2
Cañar,La Troncal,,,,,,,,,,,,,
Cañar,No Delimitado,,,,,,,,,,,,,
Carchi,Bolívar,,,,,,,,,,,,,
Carchi,Espejo,,,,,,,,,,,,,
Carchi,Mira,,,,,,,,,,,,,
Carchi,Montúfar,,,,,,,,,,,,,
Carchi,Tulcán,,,,,,,,,,,,,
Chimborazo,Alausí,,,,,,,,,,,,,
Chimborazo,Chambo,,,,,,,,,,,,,
Chimborazo,Chunchi,,,,,,,,,,,,,
Chimborazo,Colta,,,,,,,,2,2,2,6,6,6
Chimborazo,Cumandá,,,,,,,,,,,1,1,1
Chimborazo,Guamote,,,,,,,,,,,,,
Chimborazo,Guano,,,,,,,,,,,,,
Chimborazo,Pallatanga,,,,,,,,,,,,,
Chimborazo,Penipe,,,,,,,,,,,,,
Chimborazo,Riobamba,,,,,,,,,1,2,2,2,4
Cotopaxi,La Maná,,,,,,,,,,,,1,1
Cotopaxi,Latacunga,,,,,,,,,,,,,
Cotopaxi,Pangua,,,,,,,,,,,,,
Cotopaxi,Pujilí,,,,,,,,,,,,,
Cotopaxi,Salcedo,,,,,,,,,,,,,
Cotopaxi,Saquisilí,,,,,,,,,,,,,
