Provincia,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020
Azuay,,,,,,,,,,,,,,,,1,1,5,5,14,18,19,19,23,28
Bolivar,,,,,,,,,,,,,,,,,,,2,2,4,5,8,9,9
Cañar,,,,,,,,,,,,,,,,,,,,3,3,3,4,5,7
Carchi,,,,,,,,,,,,,,,,,,,,,,,,,
Chimborazo,,,,,,,,,,,,,,,,,,,,2,3,4,9,9,11
Cotopaxi,,,,,,,,,,,,,,,,,,,,,,,,1,1
El Oro,,,,,,,,,,,,,,,,,,1,1,1,2,2,6,9,14
Esmeraldas,,,,,,,,,,,,,,,,,,,,,,2,2,3,3
Galápagos,,,,,,,,,,,,,,,,,,,,,,,,,4
Guayas,,,,,,4,5,5,5,5,6,6,6,7,11,19,37,81,128,187,318,397,607,769,826
Imbabura,,,,,,,,,,,,,,,,,,,,1,2,3,4,4,4
Loja,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,7
Los Rios,,,,,,9,9,9,9,9,10,10,10,11,11,10,10,10,10,16,19,22,25,28,37
Manabi,,,,,,,,,,,,,,,,,1,1,8,8,9,9,25,27,32
Morona Santiago,,,,,,,,,,,,,,,,,,1,1,3,3,3,3,6,6
Napo,,,,,,,,,,,,,,,,,,,,,,,,,
Orellana,,,,,,,,,,,,,,,,,,,,,,,,,
Pastaza,,,,,,,,,,,,,,,,,,,,,,,,,
Pichincha,,,,,,,,,,,,,2,4,5,6,8,8,12,16,35,50,60,65,72
Santa Elena,,,,,,,,,,,,,,,,,,3,,,1,1,2,4,6
Santo Domingo de los Tsáchilas,,,,,,,,,,,,,,,,,,,,1,1,4,4,7,7
Sucumbios,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,6,6
Tungurahua,,,,,,,,,,,,,,,,,,,,,,,,1,2
Zamora Chinchipe,,,,,,,,,,,,,,,,,,,,,,,,,
