Provincia,Población
AZUAY,"881,394"
BOLÍVAR,"209,933"
CAÑAR,"281,396"
CARCHI,"186,869"
COTOPAXI,"488,716"
CHIMBORAZO,"524,004"
IMBABURA,"476,257"
LOJA,"521,154"
PICHINCHA,"3,228,233"
TUNGURAHUA,"590,600"
SANTO DOMINGO,"458,580"
EL ORO,"715,751"
ESMERALDAS,"643,654"
GUAYAS,"4,387,434"
LOS RÍOS,"921,763"
MANABÍ,"1,562,079"
SANTA ELENA,"401,178"
MORONA SANTIAGO,"196,535"
NAPO ,"133,705"
PASTAZA,"114,202"
ZAMORA CHINCHIPE,"120,416"
SUCUMBÍOS,"230,503"
ORELLANA,"161,338"
GALÁPAGOS,"33,042"
