Provincia,Población
Azuay,"881,394"
Bolívar,"209,933"
Cañar,"281,396"
Carchi,"186,869"
Cotopaxi,"488,716"
Chimborazo,"524,004"
Imbabura,"476,257"
Loja,"521,154"
Pichincha,"3,228,233"
Tungurahua,"590,600"
Santo Domingo,"458,580"
El Oro,"715,751"
Esmeraldas,"643,654"
Guayas,"4,387,434"
Los Ríos,"921,763"
Manabí,"1,562,079"
Santa Elena,"401,178"
Morona Santiago,"196,535"
Napo ,"133,705"
Pastaza,"114,202"
Zamora Chinchipe,"120,416"
Sucumbíos,"230,503"
Orellana,"161,338"
Galápagos,"33,042"
