Parroquia,Población
 Alangasi,"24,251"
 Amaguaña,"31,106"
 Atahualpa,"1,901"
 Calacali,"3,895"
 Calderon,"152,242"
 Chavezpamba,801
 Checa,"8,980"
 Conocoto,"82,072"
 Cumbaya,"31,463"
 El Quinche,"16,056"
 Gualea,"2,025"
 Guangopolo,"3,059"
 Guayllabamba,"16,213"
 La Merced,"8,394"
 Llano Chico,"10,673"
 Lloa,"1,494"
 Nanegal,"2,636"
 Nanegalito,"3,026"
 Nayon,"15,635"
 Nono,"1,732"
 Pacto,"4,798"
 Perucho,789
 Pifo,"16,645"
 Pintag,"17,930"
 Pomasqui,"28,910"
 Puellaro,"5,488"
 Puembo,"13,593"
 Quito,"1,619,146"
 San Antonio,"32,357"
 San Jose De Minas,"7,243"
 Tababela,"2,823"
 Tumbaco,"49,944"
 Yaruqui,"17,854"
 Zambiza,"4,017"
